,cleaned_event,cleaned_venue,cleaned_place,cleaned_date
0,BREAKFAST,COMMERCIAL,"HOT SPRINGS, AR",1900-04-15
1,DINNER,COMMERCIAL,"MILWAUKEE, WI",1900-04-15
2,FRUHSTUCK/BREAKFAST,COMMERCIAL,DAMPFER KAISER WILHELM DER GROSSE,1900-04-16
3,LUNCH,COMMERCIAL,DAMPFER KAISER WILHELM DER GROSSE,1900-04-16
4,DINNER,COMMERCIAL,DAMPFER KAISER WILHELM DER GROSSE,1900-04-16
5,DINNER,COMMERCIAL,R.M.S. EMPRESS OF CHINA,1900-04-16
6,SUPPER,COMMERCIAL,"NEW YORK, NY",1900-04-16
7,FRUHSTUCK/BREAKFAST,COMMERCIAL,SCHNELLDAMPFER KAISER WILHELM DER GROSSE,1900-04-17
8,LUNCH,COMMERCIAL,DAMPFER KAISER WILHELM DER GROSSE,1900-04-17
9,DINNER,COMMERCIAL,DAMPFER KAISER WILHELM DER GROSSE,1900-04-17
10,CAFE LUNCHEON,COMMERCIAL,"NEW YORK, NY",1900-04-17
11,ANNUAL BANQUET,COMMERCIAL,"DELMONICO'S, NEW YORK, NY",1900-04-17
12,DINNER,COMMERCIAL,"NEW YORK, NY",1900-04-18
13,DINNE,COMMERCIAL,S.S. CITY OF PARA,1900-04-18
14,BREAKFAST,COMMERCIAL,S.S. DORIC,1900-04-18
15,,,,1900-04-18
16,DINNER,COMMERCIAL,S.S. DORIC,1900-04-18
17,BREAKFAST,COMMERCIAL,R.M.S. EMPRESS OF CHINA,1900-04-18
18,LUNCHEON,COMMERCIAL,R.M.S. EMPRESS OF CHINA,1900-04-18
19,DINNER,,"FREEMASONS' TAVERN, LONDON, ENGLAND",1900-04-18
20,CARTE DU JOUR,COMMERCIAL,"NEW YORK, NY",1900-04-18
21,ANNUAL MEETING,COMMERCIAL,"BRUNSWICK HOTEL, BOSTON, MA",1900-04-18
22,BREAKFAST,COMMERCIAL,EN ROUTE ABOARD R.M.S. EMPRESS OF CHINA,1900-04-19
23,DINNER,COMMERCIAL,NEW YORK,1900-04-19
24,LUNCH,COMMERCIAL,EN ROUTE ABOARD PANAMA LINE STEAMSHIP CITY OF PARA,1900-04-19
25,BANQUET OF THE FIFTY NINTH ANNUAL CONVENTION,SOC,"HOLLAND HOUSE, NEW YORK CITY",1900-04-20
26,FIFTH ANNUAL REUNION,SOC,ST. DENIS HOTEL NEW YORK,1900-04-20
27,DINNER,COMMERCIAL,"VIENNA, AUSTRIA ",1900-04-20
28,SHAKEPEARE COMMEMORATION,SOC,"ANDERTON'S HOTEL, FLEET STREET, E.C. ENGLAND",1900-04-20
29,DINNER,EDUC,HOEL FLANDERS,1900-04-20
30,LUNCH,COMMERCIAL,EN ROUTE ABOARD R.M.S. EMPRESS OF CHINA,1900-04-20
31,26TH ANNIVERSARY BANQUET,SOC,"GERMAN RELIEF HALL, MOBILE AL",1900-04-21
32,TWENTY-NINTH ANNUAL DINNER,MIL,ST. DENNIS HOTEL,1900-04-20
33,DINNER,COMMERCIAL,EN ROUTE ABOARD R.M.S. LUCANIA,1900-04-21
34,SUNDAY DINNER,COMMERCIAL,156 SECOND AVENUE NY,1900-04-22
35,LUNCH,COMMERCIAL,EN ROUTE ABOARD PANAMA LINE STEAMSHIP CITY OF PARA,1900-04-22
36,SECOND ANNUAL DINNER,SOC,MOUQUIN'S,1900-04-22
37,BREAKFAST,COMMERCIAL,RMS LUCANIA,1900-04-23
38,LUNCHEON,COMMERCIAL,RMS LUCANIA,1900-04-23
39,SEVENTH ANNUAL DINNER,GOVT,DELMONICO'S,1888-01-23
40,LUNCHEON,COMMERCIAL,EN ROUTE,1900-02-18
41,BREAKFAST,COMMERCIAL,NY,1900-02-18
42,LUNCH & DINNER,COMMERCIAL,23RD ST & BWAY NY,1900-02-18
43,SUPPER,COMMERCIAL,75 ST. & COLUMBUS AVE. NY,1900-02-19
44,LUNCHEON,COMMERCIAL,66 ST. & BWAY. NY,1900-02-19
45,DINNER,COMMERCIAL,EN ROUTE,1900-02-20
